Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
FBS,Food Balance Sheets,21,Brazil,5911,Export Quantity,2731,Bovine Meat,2013,2013,1000 tonnes,1868,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5301,Domestic supply quantity,2731,Bovine Meat,2013,2013,1000 tonnes,7863,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5511,Production,2732,Mutton & Goat Meat,2013,2013,1000 tonnes,116,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5611,Import Quantity,2732,Mutton & Goat Meat,2013,2013,1000 tonnes,9,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5911,Export Quantity,2732,Mutton & Goat Meat,2013,2013,1000 tonnes,0,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5301,Domestic supply quantity,2732,Mutton & Goat Meat,2013,2013,1000 tonnes,125,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5511,Production,2733,Pigmeat,2013,2013,1000 tonnes,3280,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5611,Import Quantity,2733,Pigmeat,2013,2013,1000 tonnes,2,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5911,Export Quantity,2733,Pigmeat,2013,2013,1000 tonnes,757,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5301,Domestic supply quantity,2733,Pigmeat,2013,2013,1000 tonnes,2525,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5511,Production,2734,Poultry Meat,2013,2013,1000 tonnes,12915,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5611,Import Quantity,2734,Poultry Meat,2013,2013,1000 tonnes,3,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5911,Export Quantity,2734,Poultry Meat,2013,2013,1000 tonnes,3902,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5301,Domestic supply quantity,2734,Poultry Meat,2013,2013,1000 tonnes,9016,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5511,Production,2740,"Butter, Ghee",2013,2013,1000 tonnes,95,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5611,Import Quantity,2740,"Butter, Ghee",2013,2013,1000 tonnes,4,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5911,Export Quantity,2740,"Butter, Ghee",2013,2013,1000 tonnes,1,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5301,Domestic supply quantity,2740,"Butter, Ghee",2013,2013,1000 tonnes,99,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5511,Production,2743,Cream,2013,2013,1000 tonnes,7,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5611,Import Quantity,2743,Cream,2013,2013,1000 tonnes,0,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5911,Export Quantity,2743,Cream,2013,2013,1000 tonnes,7,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5301,Domestic supply quantity,2743,Cream,2013,2013,1000 tonnes,0,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5511,Production,2744,Eggs,2013,2013,1000 tonnes,2286,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5611,Import Quantity,2744,Eggs,2013,2013,1000 tonnes,0,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5911,Export Quantity,2744,Eggs,2013,2013,1000 tonnes,20,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5301,Domestic supply quantity,2744,Eggs,2013,2013,1000 tonnes,2266,S,Standardized data
